code,product_name,brands,quantity,categories,countries
8909081001147,bounce,Good Life,29,Unsalted cashews,India
8901725012953,sunfeast Marie light 10 MRP,Coffee-Mate,,Biscuits,India
8901595972111,8901595972111,,,Masalas,India
8904327600948,MYFITNESS Chocolate Peanut Butter Crunchy,MYFITNESS,,Crunchy peanut butters,India
8901030702556,Kissan sweet & spicy,,415,Sauces,India
7622202325960,Bournville Intense 70% Dark,Cadbury,75g,Dark chocolate bar,India
8906010502492,,,,,India
7622202318078,5 Star Chocolate Bar,Cadbury,18g,"Confectioneries, Milk chocolates, Sugar-boil",India
8901491502030,Lay's American Style Cream & Onion Flavour,Lay's,12.3g,Potato crisps,India
8901491380010,Solid Masti Masala,Kurkure,10rs,"Snacks, Fried-snacks",India
8901030872693,Real mayonnaise,Hellmann's,800 g,Mayonnaises,India
3948764092800,maaza,coco-cola,200ml,"Sweetened beverages, Cool drink",India
8901088068741,Masala Oats - Peppy Tomato,Saffola,38g,"Breakfasts, Oat",India
8901262200004,Butter milk amul,Amul,500ml,Buttermilks,India
8901063028241,8901063028241,,,Biscuits,India
8901088000345,Coconut oil,Parachute,200ml(182g),Coconut oils,"France, India, Somalia"
8901262151863,Amul Fresh Cream,Amul,250 ml,"Creams, Milks, Fresh cream cheese with cow's milk",India
8904004400045,,Haldiram's,200g,Appetizers,"France, India"
8901262020015,Cheese slices,Amul,200 g,"Cheeses, Processed cheese in slices",India
8906017290774,Soda,Bisleri,750 ml,"Sodas, Carbonated waters",India
8901012350010,Apple drink,johnson and Johnson,200 ml,"Apple juices, Apple soft drinks",India
8901491000772,Lays american onion 80gm,Lay's,82 g,Flavoured potato crisps,India
8901262172448,Amul Chocolate Brownie,Amul,1L / 540 g,"Ice creams, Chocolate icecream, Icecream",India
0846203081923,,chitale,250 g,Salty snacks,India
8901058016222,Pichkoo RICH TOMATO KETCHUP,Maggi,75g,Ketchup,India
7622202315152,,,,Caramel chocolate bars,India
8901058017601,Nescafe 10 rupees,,,"Coffees, Instant coffees",India
8901491103800,Oats,Quaker,1kg,Rolled oats,India
